Item ID (Shopline),Name,Google Category,Google Sub Category,Google third layer Category
649e32fe285ab800204c2419,【3盒優惠裝】 Femi123 - 私密妥 長效淨本膠囊 + 抑菌舒緩噴霧 + 粉嫩保濕精華 - 各1盒,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
649e321c2c3e260011eb2dc0,【許藍方推薦】PLAY & JOY POWERMAN 男性清潔+保養組合,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
649e31107b0c6d002073b938,【許藍方推薦】PLAY & JOY PJ1 延時 + 古龍激熱潤滑組合,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
649e2ee7fbfd910020f16f14,旅神優惠組: 遊慾床遊卡牌 + lubets 天然有機隨身片綜合包,string:mature,string:erotic,string:sex_toys
649e2ded534072001ad2f337,旅神優惠組: SISTALK Monster Flex + HARU 便攜裝潤滑液 + 玩具清潔劑 + 玩具,string:mature,string:erotic,string:sex_toys
649e2bed457331000ec525e0,旅神優惠組: Je Joue G Spot Bullet G點震動器 + HARU 便攜裝潤滑液 + 玩具清潔,string:mature,string:erotic,string:sex_toys
649bdb8abc27cb00175286f6,TS6 內外守護套裝,string:mature,string:erotic,string:sex_toys
649bd7b59d01be0017ad6f54,(銅鑼灣新店限定特別版) LELO 20週年 LELO DOT CRUISE 套裝,string:mature,string:erotic,string:sex_toys
648045eace7b990a2bbe6bad,【4盒優惠裝】蠔極男士套裝 - 蠔王戰鬥丸 + 極感MAX - 各2盒,string:health_beauty,string:health_care,string:medicine_drugs
648044a23bc5c32574642b5a,【6盒優惠裝】最強男士飲品 - 極感MAX + 勃鬼 + 夜狼套裝 - 各2盒,string:health_beauty,string:health_care,string:medicine_drugs
646c46401cf156001153689b,全方位自慰套裝 (LOVENSE Edge 2 & Gush),string:mature,string:erotic,string:sex_toys
646c46013b2674001df6f8b8,全方位自慰套裝 (LOVENSE Edge 2 & Calor),string:mature,string:erotic,string:sex_toys
64531000b50b4a0014313925,LELO套裝 - F1S V2,string:mature,string:erotic,string:sex_toys
64530e1f37e115001d79e7c3,LELO套裝 - SONA 2 CRUISE,string:mature,string:erotic,string:sex_toys
64530d1fecf476001d50d54b,LELO套裝 - TIANI DUO,string:mature,string:erotic,string:sex_toys
643616e833f83078bc84e0b7,Durex 杜蕾斯 001 3片裝 PU安全套 x3,string:health_beauty,string:health_care,string:condoms
642ba8845c4c6b001754eb6a,【3盒優惠裝】BioTree 金剛黑瑪卡 90粒,string:health_beauty,string:health_care,string:medicine_drugs
64081900ab7284001d9efff0,Relove 清爽白滑脫毛套裝,string:health_beauty,string:personal_care,string:shaving_grooming
6408145ad285e80023891adb,Relove 親蜜男女冰火潔淨組合,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
6401bb6dc388043ad30d6d17,【男保新手入門】增強增大組合,string:mature,string:erotic,string:erotic_food_edibles
63b678e5f2223b000e2e2720,【SISTALK 超值組合】SISTALK 小怪獸魔吻 + 小怪獸2 鯨魚博士 (青春版/健康版),string:mature,string:erotic,string:sex_toys
63b676baff95a80017f0bab6,【SISTALK 超值組合】SISTALK 小怪獸魔吻 + 小怪獸2 哥斯拉大師 (青春版/健康版),string:mature,string:erotic,string:sex_toys
63b6560474b1ac002344299c,【SISTALK 超值組合】SISTALK 小怪獸魔吻 + 小怪獸2 惡魔先生 (青春版/健康版),string:mature,string:erotic,string:sex_toys
63b642af46b52f0023268d3b,【SISTALK 超值組合】SISTALK 小怪獸魔吻 + MOOMA 萌?象 旋轉溫熱 G點按摩棒,string:mature,string:erotic,string:sex_toys
63b63f2d46b52f0011268d03,【SISTALK 超值組合】SISTALK 小怪獸魔吻 + 怪獸棒-哥斯拉大師 G點按摩棒,string:mature,string:erotic,string:sex_toys
63a2c667ccd084001a1ad892,LOVENSE 智能遙控男士新體驗,string:mature,string:erotic,string:sex_toys
63a1349249584e001aa82416,【迷情高潮組合】SSI Japan 草本精華 + HARU: ORGASM 高潮潤滑液,string:health_beauty,string:personal_care,string:personal_lubricants
639aff594a0e2e001771b5b1,Obsessive 熊熊慾火套裝,string:mature,string:erotic,string:erotic_clothing
639afa2e0655ab001a2d54c0,Obsessive 性感誘惑套裝,string:mature,string:erotic,string:erotic_clothing
639aef2e4705a9001a5979d3,荷蘭Cobeco Big Boy 勃起增大＋廷時 超爽組合,string:health_beauty,string:health_care,string:medicine_drugs
639abfdea354fd0017d4e469,【女性用】SSI 濃縮配方 伴侶發情組合 - 狂亂！潮吹！混身愛蜜！組合套裝,string:mature,string:erotic,string:erotic_food_edibles
639aba7569fee50014712121,【男性用】SSI JAPAN 草本精華 速攻組合 - 巨根！暴走！極速回復！濃縮精華！,string:mature,string:erotic,string:erotic_food_edibles
639a9fd50e5a2f0020f757ca,【事前極速補充】力量戰鬥飲！一定要有幾枝旁身！ 任你試混合裝,string:mature,string:erotic,string:erotic_food_edibles
63999fe3687534001cc0b430,男仕威力組合 花心混合裝 日本金裝濃縮瑪卡 X 精力丸 X 蠔王戰鬥丸,string:health_beauty,string:health_care,string:medicine_drugs
6399900b3ea69e00259ea80f,GINRO 《微床遊.遊慾》BDSM 篇 + 新手皮具組,string:mature,string:erotic,string:sex_toys
63998ba14b72800019fe307e,ITOH 天狗 東革阿里補腎膠囊 120粒 三盒套裝,string:health_beauty,string:health_care,string:medicine_drugs
639302abc814a100254c5ef7,TENGA 精育支援補充品 3盒 送 TENGA MENS CHARGE,string:health_beauty,string:health_care,string:medicine_drugs
6386fb42ff5f15001cf11219,Lush 3 + NOS + Orgasm Jack Herer,string:mature,string:erotic,string:sex_toys
63857c97fbae5000255cc064,男補Energie 精力丸5:1膠囊 90粒 3盒裝,string:health_beauty,string:health_care,string:medicine_drugs
63844878bbdb6200102c6a10,【Waddy Store 冬日限定】女友月事套裝,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
6380958552ef57001cf0786a,大捆綁極樂FUN SET,string:mature,string:erotic,string:sex_toys
638091d51296460022f84a03,清爽白滑脫毛 SET,string:health_beauty,string:personal_care,string:shaving_grooming
637f375859183b00283e0761,LELO 愛侶親密滿足SET,string:mature,string:erotic,string:sex_toys
637f2e87e3d4e8002ef8a40f,Orctan 滿足FULL SET,string:mature,string:erotic,string:sex_toys
637f24161284e1001f5bb8d6,ARCWAVE Ion 滿足FULL SET,string:mature,string:erotic,string:sex_toys
637f23d1eacd250028371bae,零重力自愛SET,string:mature,string:erotic,string:sex_toys
637f234bcd1b1b2568851e2e,聖誕熱浪自愛SET,string:mature,string:erotic,string:sex_toys
637f1b4d33b1b700102bba72,Double Self Love 臉紅SET,string:mature,string:erotic,string:sex_toys
637f1a1971b80e8fea594659,蕉男友一條龍 BOX SET,string:mature,string:erotic,string:sex_toys
637f0ecf13b6dd002bbccedb,吸吮震動Double up SET,string:mature,string:erotic,string:sex_toys
637ee9fb71b80e0013593a80,【FOR HER】 粉紅高潮浪漫SET,string:mature,string:erotic,string:sex_toys
637ee8db08f2f00013d56469,Lovense Dolce + 潮吹凝膠 + 敏感提升乳霜,string:mature,string:erotic,string:sex_toys
6363302ae565000010eafed8,,string:mature,string:erotic,string:sex_toys
63632d71f0f9180028dc2d89,,string:mature,string:erotic,string:sex_toys
63632b68355ad80031be9cfe,Love Dear 1+1 密友組 私膚沐浴露 禮盒,string:mature,string:erotic,string:sex_toys
6360e3de1812b7001653248b,LOVENSE 智能遙控最強組合,string:mature,string:erotic,string:sex_toys
6360e1427c7fc800101499d2,LOVENSE 智能遙控激情組合,string:mature,string:erotic,string:sex_toys
6360dec117f5f2002808319f,Ame Arome 按摩油組合 (男用+女用),string:health_beauty,string:personal_care,string:massage_relaxation
6358fc2166f4b2002b0b8824,Love Dear 0+0?+3 成長寵愛淨潤組 私膚沐浴露,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
6358f39cf83c32002b63c653,Love Dear: 10分寵愛情人組 私膚沐浴露,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
6358e4fb86f0b00010e0193e,Love Dear:【男性專用】1號私膚沐浴露 男生麻吉組 雙瓶優惠,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
6358e290f9665f002b597a8b,Love Dear:【女性專用】0號私膚沐浴露 女生寵愛組 雙瓶優惠,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
6357441f27eb35001fd5f15c,【潤滑緊緻】草本Orgasm熱浪迷情水溶性潤滑液 155ml + 草本私密緊緻胜?凝膠 30ml,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
635740ca46525700107b0e7f,【呵護Combo】大麻私密緊緻胜?凝膠 30ml + 大麻私密護理嫩白胜?凝膠 30ml,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
63573eb632005e0028691186,【潤滑美白】大麻Orgasm熱浪迷情水溶性潤滑液 155ml + 大麻私密護理嫩白胜?凝膠 30ml,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
63573cbc4075d00022b08498,【全方位組合】大麻Orgasm熱浪迷情水溶性潤滑液 + 大麻私密護理嫩白胜?凝膠30ml + 大麻私密緊緻胜?,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
634fc45e318246001051b5a8,【香港製造】Ame arome a?me Bath bomb 手工浴球三件套裝,string:health_beauty,string:personal_care,string:cosmetics
634f859296c4ec0022ea921d,自慰好物優惠組合: Unicorn Set 多用途按摩器 + Orgasm 熱感潤滑液,string:mature,string:erotic,string:sex_toys
634f8119187b5400310c7cf2,自慰好物優惠組合: Mooma 旋轉發熱G點棒 + Indulge 熱感美白潤滑液,string:mature,string:erotic,string:sex_toys
633579526dbce700166db233,TS6私密呵護套裝 - 私密優菌C + 淨味止痕噴霧 + 潔淨慕斯 + 粉嫩淡色精華 -各1盒,string:health_beauty,string:personal_care,string:feminine_sanitary_supplies
63356fed4a217b002807e96c,Maruman 勃鬼 男士增強飲品 50ml - 5盒優惠裝,string:health_beauty,string:health_care,string:medicine_drugs
63356de6c9b42c002209e255,Maruman 勃鬼 男士增強飲品 50ml - 3盒優惠裝,string:health_beauty,string:health_care,string:medicine_drugs
63354e712fd4e1001094f3ba,Sagami 相模原創 0.02 (第二代) 12 片裝 PU 安全套,string:health_beauty,string:health_care,string:condoms
63354d85b3914961d3961a98,ICHIKI 夜狼套裝 [30ml飲劑+ 4粒丸打孖勁硬] - 5盒優惠裝,string:health_beauty,string:health_care,string:medicine_drugs
63354cfe98d8a100318dcea0,Sagami 相模 原創 0.02 極潤 (第二代) 12片裝 PU安全套 套裝,string:health_beauty,string:health_care,string:condoms
63354abf26fbb40016c1046b,【2盒套裝】Sagami 相模 原創 0.09 長期戰組,string:health_beauty,string:health_care,string:condoms
63354a60e79548002ef4c2d6,【3盒優惠裝】ICHIKI 夜狼套裝 [30ml飲劑+ 4粒丸打孖勁硬],string:health_beauty,string:health_care,string:medicine_drugs
633544ccc2546400101a1535,【5盒優惠裝】ICHIKI 極感MAX 50ml,string:health_beauty,string:health_care,string:medicine_drugs
633542024658880013d0ded1,ICHIKI 極感MAX 50ml - 3盒優惠裝,string:health_beauty,string:health_care,string:medicine_drugs
63352e862de5bb00283b0540,【6盒優惠裝】BATTLEMAN Oysterking 蠔王戰鬥飲(2支裝) + 蠔王戰鬥丸 - 各3盒,string:health_beauty,string:health_care,string:medicine_drugs
63352e2e7d7e3d002b60b324,TENGA 男性訓練杯 持久訓練 快感控制 飛機杯套裝,string:mature,string:erotic,string:sex_toys
63352d92d8c7200019891479,TENGA 男性訓練杯 完事訓練 快感控制 飛機杯套裝,string:mature,string:erotic,string:sex_toys
6335291b98d8a100198dc03d,【3盒優惠裝】BATTLEMAN Oysterking 蠔王戰鬥丸2盒＋蠔王戰鬥飲 1盒2支,string:health_beauty,string:health_care,string:medicine_drugs
633528ec534c900019eb3f9a,【5盒優惠裝】男補Energie 秘魯黑鑽瑪卡膠囊組合,string:health_beauty,string:health_care,string:medicine_drugs
63351c4d0f653e00134b294c,【LONG D 情侶套裝】LOVENSE Max 2 & Nora 智能遙控玩具,string:mature,string:erotic,string:sex_toys
63351a29e795480028f4b43a,【3盒優惠裝】TITAN GEL Gold 黃金裝增大凝膠組合 (一個療程),string:health_beauty,string:health_care,string:condoms
633517744a217b002b07c3c1,杜蕾斯 雙保險套裝 36 片安全套,string:health_beauty,string:health_care,string:condoms
633515ada9044d0025855f1e,【3盒優惠裝】男補Energie 秘魯黑鑽瑪卡膠囊組合,string:health_beauty,string:health_care,string:medicine_drugs
63350d6670d200001c21060a,TENGA AIR-TECH 無限享樂套裝,string:health_beauty,string:health_care,string:condoms
633508400567f00019e977c9,【6盒優惠裝】岡本 0.01 安全套 大碼 18 片 套裝,string:health_beauty,string:health_care,string:condoms
633505952dfc440010835646,【6盒優惠裝】岡本 0.01 安全套 18 片 套裝,string:health_beauty,string:health_care,string:condoms
6333f9f7ac4b5200162baab3,TENGA AIR-TECH 套裝,string:mature,string:erotic,string:sex_toys
6333f82aac4b521f9b2ba768,【2盒套裝】岡本& 相模 0.01 套裝 8 片組合,string:health_beauty,string:health_care,string:condoms
6333df361df7f6001c02bd49,TENGA FLIP 0 (ZERO) 黑色 電動版 + HOLE LOTION 4種類 組合,string:mature,string:erotic,string:sex_toys
6333bb861f2cfc002e4d7d22,TENGA FLIP (0) ZERO 黑色 + HOLE LOTION 4種類 組合,string:mature,string:erotic,string:sex_toys
6332d6d60cfd37001c6feef0,Doctoreyes 愛滋病、梅毒及乙型肝炎快速檢驗器套裝,string:health_beauty,string:health_care,string:medical_tests
632d7957908b480010057b96,Relove 零毛髮美肌組 脫毛保濕護理優惠套裝,string:health_beauty,string:personal_care,string:shaving_grooming
632c406fa02edf0010195d18,[高用量套裝] TENGA FLIP 0 (ZERO) GRAVITY 零重力完美組合,string:mature,string:erotic,string:sex_toys
632c3be80b54cc001095eaf1,【終極增強增大組合】 Titan Gel Gold 增大凝膠 + Big Boy XXL 增大丸 (4膏1丸,string:health_beauty,string:health_care,string:medicine_drugs
632c26cbb653780019712d4f,【終極增強增大孖寶】Cobeco Big Boy Golden XXL 男士增大丸 45粒 & Cobeco,string:health_beauty,string:health_care,string:medicine_drugs
